# E (eV)  dos(E)    pdos(E)
  23.996  0.109E+01  0.149E+00
  24.096  0.727E+00  0.935E-01
  24.196  0.109E+01  0.241E+00
  24.296  0.793E+00  0.134E+00
  24.396  0.103E+01  0.990E-01
  24.496  0.964E+00  0.191E+00
  24.596  0.684E+00  0.109E+00
  24.696  0.648E+00  0.127E+00
  24.796  0.510E+00  0.441E-01
  24.896  0.369E+00  0.173E-01
  24.996  0.546E+00  0.339E-01
  25.096  0.983E+00  0.236E-01
